X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
358278,171562,361,SS4 Camera. Jnc North Street and Cannon Street. SL Column 1.,358278,171562,-2.60168049656547,51.4415026111329
359381.98,169624.58,362,Filwood Broadway/Hartcliffe Road,359381.98,169624.58,-2.58557303041508,51.4241639955444
359421.01,174083.220000001,363,City Road/Dalrymple Road,359421.01,174083.22,-2.58552496053626,51.4642549398181
359101,173852,364,Stokes Croft/ City Rd Junction,359101,173852,-2.59010454927316,51.4621528133388
360913.97,169812.91,365,Wells Road/West Town Lane,360913.97,169812.91,-2.56356096814996,51.4259649776857
357006,179088,366,Crow Lane Column 19,357006,179088,-2.62089867157626,51.5090737291947
359671.62,174061.65,367,"Ludlow Close, St Paul's",359671.62,174061.65,-2.58191507870045,51.4640789779649
360545.9,173737.02,368,Pountney Drive Camera 05,360545.9,173737.02,-2.56929403989365,51.4612219816645
360545.9,173737.02,369,Pountney Drive Camera 04,360545.9,173737.02,-2.56929403989365,51.4612219816645
360545.9,173737.02,370,Pountney Drive Camera 03,360545.9,173737.02,-2.56929403989365,51.4612219816645
360506.5,173735.550000001,371,Pountney Drive 1st Floor Far End,360506.5,173735.55,-2.56986097978843,51.4612060052494
360506.5,173735.550000001,372,Pountney Drive 2nd Floor Far End,360506.5,173735.55,-2.56986097978843,51.4612060052494
360503.46,173711.66,373,"Lansdowne Court, Lift #2",360503.46,173711.66,-2.56990206653239,51.4609909900239
360503.46,173711.66,374,"Lansdowne Court, Lift #1",360503.46,173711.66,-2.56990206653239,51.4609909900239
360534.06,173653.140000001,375,"Pountney Drive Upper, Door Panel (34-42)",360534.06,173653.14,-2.56945509419026,51.4604669625139
360548.91,173740,376,Pountney Drive Lower Door Panel,360548.91,173740,-2.56925104801205,51.4612489864134
360503.46,173711.66,377,"Lansdowne Court, Laundry (Internal)",360503.46,173711.66,-2.56990206653239,51.4609909900239
360503.46,173711.66,378,"Lansdowne Court, Bridge Entrance (Internal)",360503.46,173711.66,-2.56990206653239,51.4609909900239
360503.46,173711.66,379,"Lansdowne Court, Main entrance Lobby (Internal)",360503.46,173711.66,-2.56990206653239,51.4609909900239
360503.46,173711.66,380,"Lansdowne Court, Main Entrance Door Panel",360503.46,173711.66,-2.56990206653239,51.4609909900239
360503.46,173711.66,381,"Lansdowne Court, Lift Lobby, Far (Internal)",360503.46,173711.66,-2.56990206653239,51.4609909900239
