X,Y,OBJECTID,UNITID,LOCATION,USRN,STREET,EASTING,NORTHING,COLHEIGHT,COLMAT,UNIT_TYPE_DESCRIPTION,POSITION_DESCRIPTION,OWNER_DESCRIPTION,UNIT_NO,ASSET_NUMBER,COLTYPE,FAULT_MAINTENANCE_SUPPORT,INCLUDED_ON_ENERGY_REPORT,CMS_CONTROLLED,longitude,latitude
352783.8,177064.75,1,"10097706",Jim O Neil House,"4556244",Kilminster Road,352783.8,177064.75,4,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.68146206713599,51.4905449909967
352778.39,177072.470000001,2,"10097704",Jim O Neil House,"4556244",Kilminster Road,352778.39,177072.47,4,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.68154102349439,51.4906139445357
352787.56,177058.26,3,"10097708",Jim O Neil House,"4556244",Kilminster Road,352787.56,177058.26,4,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.68140704037508,51.4904869574817
352792.89,177048.869999999,4,"10097710",Jim O Neil House,"4556244",Kilminster Road,352792.89,177048.87,4,,SL: Flood Light,,N&HS - HOUSING,F004,16401.07,,No,FALSE,,-2.68132901165529,51.4904029829197
352752.63,177079.83,5,"10097712",Jim O Neil House,"4556244",Kilminster Road,352752.63,177079.83,1,,SL: Flood Light,,N&HS - HOUSING,F005,16401.09,,No,FALSE,,-2.68191301773199,51.4906779547371
357721.58,175984.550000001,6,"10097679",Wildcroft House,"4531560",Wildcroft Road,357721.58,175984.55,,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.61021606201483,51.4812249652337
357710.85,175963.4,7,"10097681",Wildcroft House,"4531560",Wildcroft Road,357710.85,175963.4,,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.61036803467032,51.4810340049873
357743.21,175954.449999999,8,"10097683",Wildcroft House,"4531560",Wildcroft Road,357743.21,175954.45,,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.60990097976609,51.4809559623972
357725.56,175945.26,9,"10097685",Wildcroft House,"4531560",Wildcroft Road,357725.56,175945.26,,,SL: Flood Light,,N&HS - HOUSING,F004,16401.07,,No,FALSE,,-2.61015403497447,51.4808720141722
355420.7,176805.73,10,"10097687",Hillhouse,"4536686",Woodend Walk,355420.7,176805.73,,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.64345199765054,51.4884309643072
355422.31,176783.58,11,"10097689",Hillhouse,"4536686",Woodend Walk,355422.31,176783.58,,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.64342601344549,51.4882319439166
355416.68,176767.390000001,12,"10097691",Hillhouse,"4536686",Woodend Walk,355416.68,176767.39,,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.64350504984365,51.488085936681
355398.83,176742.640000001,13,"10097693",Hillhouse,"4536686",Woodend Walk,355398.83,176742.64,,,SL: Flood Light,,N&HS - HOUSING,F004,16401.07,,No,FALSE,,-2.64375899125839,51.487862001174
355393.24,176730.34,14,"10097695",Hillhouse,"4536686",Woodend Walk,355393.24,176730.34,,,SL: Flood Light,,N&HS - HOUSING,F005,16401.09,,No,FALSE,,-2.64383794147968,51.4877509713699
357267.61,179234.08,15,"10097697",Ardenton walk,"4545925",Ardenton Walk,357267.61,179234.08,3,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.61714696549696,51.5104070235507
357933.25,179360.970000001,16,"10097699",Okebourne Road,"4541965",Okebourne Road,357933.25,179360.97,3,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.60757100782097,51.5115980049693
354946.67,178686.17,17,"10097701",Orlebar Gardens,"4534750",Orlebar Gardens,354946.67,178686.17,3,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.65051908692389,51.5052999882901
352738.57,177090.310000001,18,"10097714",Jim O Neil House,"4556244",Kilminster Road,352738.57,177090.31,4,,SL: Flood Light,,N&HS - HOUSING,F006,16401.11,,No,FALSE,,-2.68211692707649,51.4907709961491
352735.79,177090.779999999,19,"10097716",Jim O Neil House,"4556244",Kilminster Road,352735.79,177090.78,4,,SL: Flood Light,,N&HS - HOUSING,F007,16401.13,,No,FALSE,,-2.68215702885564,51.4907749884339
352734.39,177096.470000001,20,"10097718",Jim O Neil House,"4556244",Kilminster Road,352734.39,177096.47,4,,SL: Flood Light,,N&HS - HOUSING,F008,16401.15,,No,FALSE,,-2.68217795957582,51.490826027202
352743.67,177102.050000001,21,"10097720",Jim O Neil House,"4556244",Kilminster Road,352743.67,177102.05,4,,SL: Flood Light,,N&HS - HOUSING,F009,16401.17,,No,FALSE,,-2.68204505861268,51.4908769731653
352750.03,177106.439999999,22,"10097722",Jim O Neil House,"4556244",Kilminster Road,352750.03,177106.44,4,,SL: Flood Light,,N&HS - HOUSING,F010,16401.19,,No,FALSE,,-2.68195405173872,51.4909169752685
352752.04,177105.640000001,23,"10097724",Jim O Neil House,"4556244",Kilminster Road,352752.04,177105.64,4,,SL: Flood Light,,N&HS - HOUSING,F011,16401.21,,No,FALSE,,-2.68192499515748,51.4909099514399
352757.02,177096.369999999,24,"10097726",Jim O Neil House,"4556244",Kilminster Road,352757.02,177096.37,4,,SL: Flood Light,,N&HS - HOUSING,F012,16401.23,,No,FALSE,,-2.68185202170168,51.4908270267362
352762.36,177087.970000001,25,"10097728",Jim O Neil House,"4556244",Kilminster Road,352762.36,177087.97,4,,SL: Flood Light,,N&HS - HOUSING,F013,16401.25,,No,FALSE,,-2.6817739809749,51.4907519539606
355239.23,178575.24,26,"10097730",Lawrence Weston Rd (4-16),"4551690",Lawrence Weston Road,355239.23,178575.24,4,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.64629004351189,51.5043259732608
355209.84,178556.48,27,"10097732",Lawrence Weston Rd (4-16),"4551690",Lawrence Weston Road,355209.84,178556.48,4,,SL: Flood Light,,N&HS - HOUSING,F002,16401.02,,No,FALSE,,-2.64671107376813,51.5041549686737
353008.41,177056.210000001,28,"10097734",The Lawns,"4525093",The Lawns,353008.41,177056.21,3,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.67822603638627,51.4904869959003
353023.69,177056.4,29,"10097736",The Lawns,"4525093",The Lawns,353023.69,177056.4,3,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.67800599597726,51.4904899787383
353031.22,177067.57,30,"10097738",The Lawns,"4525093",The Lawns,353031.22,177067.57,3,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.67789904427194,51.4905910312583
364051.42,176633.77,31,"10097740",Sheppard Road,"4534833",Sheppard Road,364051.42,176633.77,4,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.51913304799068,51.4875009583682
364050.6,176605.199999999,32,"10097742",Sheppard Road,"4534833",Sheppard Road,364050.6,176605.2,4,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.51914194322789,51.4872440277236
364065.92,176591.960000001,33,"10097744",Sheppard Road,"4534833",Sheppard Road,364065.92,176591.96,4,,SL: Flood Light,,N&HS - HOUSING,F003,16401.05,,No,FALSE,,-2.51891995969566,51.4871259601478
364081.78,176576.609999999,34,"10097746",Sheppard Road,"4534833",Sheppard Road,364081.78,176576.61,4,,SL: Flood Light,,N&HS - HOUSING,F004,16401.07,,No,FALSE,,-2.51868998545737,51.4869889551088
354947,178672,35,"10099723",Orlebar Gardens,"4534750",Orlebar Gardens,354947,178672,,,SL: Flood Light,,N&HS - HOUSING,F002,16401.03,,No,FALSE,,-2.65051251944028,51.5051726152976
356596,179182,36,"10099725",The Chalet,"4596548",The Chalet,356596,179182,,,SL: Flood Light,,N&HS - HOUSING,F002,16401.01,,No,FALSE,,-2.6268177996793,51.5098874503112
360547,173499,37,"10099727",Croydon House,"4552273",Walker Close,360547,173499,,,SL: Flood Light,,N&HS - HOUSING,F003,16401,,No,FALSE,,-2.56925164375084,51.4590819493618
359730.32,173482.960000001,38,"10097677",Whitson House,"4534574",Great George Street,359730.32,173482.96,4,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.5810040860073,51.4588799596643
360508,173542,39,"10099729",Croydon House,"4552273",Walker Close,360508,173542,,,SL: Flood Light,,N&HS - HOUSING,F002,16401.01,,No,FALSE,,-2.56981776573902,51.4594658436024
361118,173337,40,"10099733",Moorfield House,"4596481",Moorfields Close,361118,173337,,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.56101533307925,51.4576649196026
361713,173476,41,"10099735",Padmore Court,"4533364",Derby Street,361713,173476,,,SL: Flood Light,,N&HS - HOUSING,F001,16401.01,,No,FALSE,,-2.55246663140622,51.4589552977869
358576.65,169367.130000001,42,SL009274,J/O Novers Lane,"4539139",Inns Court Avenue,358576.65,169367.13,1,PLASTIC,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T010,20806,GLASDON REBOUND,Yes,TRUE,,-2.59712550607567,51.4217907652138
360404,174015,43,SL143890,/Stapleton Road,"4567068",Easton Way,360404,174015,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T002,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.57136762725284,51.4637114355136
359049.11,173746.34,44,SL007936,By C5,"4543550",Stokes Croft,359049.11,173746.34,1,PLASTIC,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T001,20801,GLASDON REBOUND,Yes,TRUE,,-2.59083916969184,51.4611990153584
361030.54,169357.119999999,45,SL072755,O/S 609 2South Jo Clive Rd-2North Jo Mowbray Rd,"4596416",Wells Road,361030.54,169357.12,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T053,20810,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.56183405924578,51.4218748658646
361164,171543.4,46,SL072049,/Sandy Pk Rd,"4526821",Bath Road,361164,171543.4,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T059,20817,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.56015628800038,51.4415413311373
359466.93,177045.07,47,SL007053,W /Gloucester Rd-(E),"4561051",Kellaway Avenue,359466.93,177045.07,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T010,20807,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.58520490858935,51.4908881392605
362463.7,172546.800000001,48,SL141066,O/S 45 1NJo RIPON ROAD-OpC7,"4530772",Guildford Road,362463.7,172546.8,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T006,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.54156297038668,51.450650864991
361118.77,168965.960000001,49,SL072761,O/S 669 Adj South Jo Davids Rd-1st fm C94,"4596416",Wells Road,361118.77,168965.96,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T061,20814,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.56052212944033,51.4183638857806
361567,173327.199999999,50,SL104383,/Avonvale Rd/Os No2,"4524443",Netham Road,361567,173327.2,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T002,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.55455188353082,51.4576074961946
357229,176750.199999999,51,SL104080,N /Westbury Rd-(N) (nrP1),"4542373",Falcondale Road,357229,176750.2,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T004,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.6174020322923,51.4880717187843
360420,173934,52,SL137258,Op Jo Easton Way-bottom of short island,"4558565",Stapleton Road,360420,173934,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T014,20803,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.57112824457683,51.4629842630553
361573,173324.6,53,SL104385,2nd fm /Avonvale Rd/Os4,"4524443",Netham Road,361573,173324.6,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T005,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.55446524433184,51.4575845265829
360897.96,170019.449999999,54,SL071233,Opp 469 SlipRoad2+NrC2WoottonPk(Triangle.Island),"4596415",Wells Road,360897.96,170019.45,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T037,20809,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.5638142370716,51.4278209213015
356646.57,168261.939999999,55,SL010589,O/S Substation. P006,"4539887",King Georges Road,356646.57,168261.94,1,PLASTIC,SL: Bollard,On roadway,PTSD - HIGHWAYS,T003,20802,GLASDON REBOUND,No,TRUE,,-2.62474692769436,51.4117085163146
356415.2,171734.050000001,56,SL156222,J/O Kennel Lodge Road,"4556512",Clanage Road,356415.2,171734.05,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T004,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.62850159376476,51.4429085155268
357333.1,173616.199999999,57,SL072103,OsCathedral-OpJoOakfieldRd-2FmC13,"4559027",Pembroke Road,357333.1,173616.2,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T013,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.61552305640983,51.4599015647001
358038.4,170398.17,58,SL010879,,"4526885",Parson Street,358038.4,170398.17,1,PLASTIC,SL: Bollard,On C.I.C (Refuge Island),PTSD - HIGHWAYS,T031,20812,GLASDON REBOUND,Yes,TRUE,,-2.60498995893621,51.4310211695614
356645.68,175291.189999999,59,SL150892,N /Saville Rd-S (opP3),"4540012",Stoke Hill,356645.68,175291.19,1,PLASTIC,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T025,20811,GLASDON REBOUND,Yes,TRUE,,-2.62562370205797,51.4749093446117
356640.61,175293.41,60,SL150891,N /Saville Rd-N (opP3),"4540012",Stoke Hill,356640.61,175293.41,1,PLASTIC,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T027,20812,GLASDON REBOUND,Yes,TRUE,,-2.62569697346164,51.4749289149284
361434.3,170292.6,61,SL071941,Access to TESCOs,"4557003",Callington Road,361434.3,170292.6,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T023,20813,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.55613018208943,51.4303136118896
357638.8,175877.800000001,62,SL104106,E / Northumbria Dr-(W),"4558774",White Tree Road,357638.8,175877.8,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T001,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.61139525548472,51.4802589835899
360435,173971,63,SL137262,AdjSouthJoEastonWy-BottomOf small island,"4558565",Stapleton Road,360435,173971,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T018,20806,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.57091647572818,51.4633179941864
358370,174629,64,SL104951,O/S 23 o/s 23 (South side),"4540609",Redland Grove,358370,174629,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T005,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.60071843066527,51.4690855110284
358878.08,173402.34,65,SL154093,Noth of Island,"4531818",Lower Maudlin Street,358878.08,173402.34,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T006A,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.59326076520428,51.4580935258849
360509.3,172921.4,66,SL140650,/Days Road Triangle Isld N bou,"4587707",St Philips Causeway,360509.3,172921.4,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T021,20817,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.56972981762402,51.4538859040333
361252,171863.199999999,67,SL140673,by exist to Blmfild Link Road by L,"4587707",St Philips Causeway,361252,171863.2,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T045,20828,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.55892527616656,51.4444227652642
356100,176027,68,SL006962,E /Glen Dr-(E) (W-P3),"4524465",Druid Hill,356100,176027,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T004,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.63357199322922,51.4814827544641
351645.84,178448.699999999,69,SL143261,S /St Andrews Gt (nrP12A) ISL,"4526632",St Andrews Road,351645.84,178448.7,1,PLASTIC,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T016,20809,GLASDON REBOUND,Yes,FALSE,,-2.69804184797707,51.5028910615515
359697,177494.49,70,SL138359,Opp Sub N /Caine Rd-(N) opP8,"4550839",Filton Road,359697,177494.49,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T006,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.58194267614639,51.4949453629591
354261,178263,71,SL142308,E /Shortlands Rd-(W) (nrP32),"4526951",Long Cross,354261,178263,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T039,20817,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.66034280819029,51.5014400450301
360561.7,177515.439999999,72,SL147782,E /Wordsworth Rd-(E) opP2,"4560436",Bonnington Walk,360561.7,177515.44,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T007,20805,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.56948982845713,51.4951948833376
359517.7,172851.300000001,73,SL145056,opp Exit from & SJo Avon Street,"4543242",Temple Way,359517.7,172851.3,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T015,20809,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.58399191729876,51.4531852325388
356859,172419.5,74,SL140699,Jo Bristol Gate,"4563581",Bennett Way,356859,172419.5,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T001,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.62220021665824,51.4491056103214
360100,172389.800000001,75,SL137992,2nd from Feeder Road,"4563086",Avon Street,360100,172389.8,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T007,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.57556011806809,51.449077287176
360996.83,173359.25,76,SL140901,2nd (E) from Jane Street,"4543033",Church Road,360996.83,173359.25,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T002,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.5627617629233,51.4578566329687
358960.47,167510.08,77,SL151664,OPP THE GROVES,"4533201",Bishport Avenue,358960.47,167510.08,1,ALUMINIUM,SL: Bollard,Roundabout,PTSD - HIGHWAYS,T011,20806,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.59138911874214,51.405121480791
358050.07,172559.449999999,78,SL071489,J/O Lime Kiln Road,"4562591",Anchor Road,358050.07,172559.45,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T013,20812,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.60507763936942,51.4504537586806
358327.01,172594.619999999,79,SL150179,,"4562591",Anchor Road,358327.01,172594.62,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T004,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.60109658514325,51.4507905267633
361802.55,173552.99,80,SL153032,2nd West - Blackswarth Road,"4543033",Church Road,361802.55,173552.99,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T009,20803,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.55118605777257,51.4596535765159
359032.77,178223.699999999,81,SL140334,Opp 494 E /Pen Park Rd-(E) (opP49),"4561875",Southmead Road,359032.77,178223.7,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T042,20818,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.59159519854589,51.5014538064913
359196.4,178356.6,82,SL140335,Opp 539 E /Felstead Rd-(W) (opP55),"4561875",Southmead Road,359196.4,178356.6,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T043,20819,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.58925335917031,51.5026605807379
358176,177256.800000001,83,SL140300,W /Wellington Hl WesT R/A - WBnd (opP13),"4561875",Southmead Road,358176,177256.8,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T015,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.60382326602849,51.4926975451661
358185.91,177263.699999999,84,SL140301,R/A - op WELLINGTON HL WEST,"4561875",Southmead Road,358185.91,177263.7,1,ALUMINIUM,SL: Bollard,Roundabout,PTSD - HIGHWAYS,T016,20805,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.60368134438887,51.4927603175467
357457.57,177887.449999999,85,SL153339,W /Cricket Ln-(W) (nrP6),"4546773",Greystoke Avenue,357457.57,177887.45,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T030,20816,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.61424727189465,51.4983139417237
359953.9,170486.6,86,SL104452,/Broad Walk,"4525697",Salcombe Road,359953.9,170486.6,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T001,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.57744629709604,51.4319552241733
358147.2,173416.300000001,87,SL139335,/University Walk,"4534387",Woodland Road,358147.2,173416.3,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T010,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.60378165361152,51.4581652368682
358340.76,171375.699999999,88,SL039613,(North) Jo East Street,"4573700",Sheene Road,358340.76,171375.7,1,PLASTIC,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T001,20801,GLASDON REBOUND,Yes,TRUE,,-2.60075573602611,51.4398322995311
360134,173168.199999999,89,SL140361,/St Phillips Road,"4574837",Trinity Street,360134,173168.2,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T007,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.57515857615753,51.4560785414945
358740,173254,90,SL142869,/Rupert Street,"4573232",St Johns Bridge,358740,173254,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T004,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.59523073810076,51.4567496519316
363389,173716,91,SL071504,O/S 17 Adj to C 2,"4533793",Two Mile Hill Road,363389,173716,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T001,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.52836925546224,51.4612240736188
363393,173718,92,SL071507,O/S 19 Adj to C 2,"4533793",Two Mile Hill Road,363393,173718,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T003,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.52831189174279,51.4612423155529
363556,173782,93,SL071508,O/S 66 /Rodney Rd,"4533793",Two Mile Hill Road,363556,173782,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T004,20803,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.52597246333871,51.4618283034848
363552,173782,94,SL071510,O/S 66 /Rodney Rd,"4533793",Two Mile Hill Road,363552,173782,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T006,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.52603003649079,51.4618280452186
363705,173778,95,SL071511,O/S 118 /Burchells Green Rd,"4533793",Two Mile Hill Road,363705,173778,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T007,20805,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.52382744904692,51.4618019386892
361614.1,173815,96,SL141015,opp C11,"4544953",Chalks Road,361614.1,173815,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T007,20805,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.55392700721622,51.4619965907937
361822.15,173569,97,SL006091,/Church Road,"4544953",Chalks Road,361822.15,173569,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T002,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.550905685365,51.4597988452232
361018.32,173372.57,98,SL152688,J/O CHURCH ROAD,"4573021",Russell Town Avenue,361018.32,173372.57,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T002,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.56245392650551,51.4579778790023
358817,171823,99,SL137598,JN BEDMINSTER PARADE,"4572655",Regent Road,358817,171823,1,ALUMINIUM,SL: Bollard,Traffic island,PTSD - HIGHWAYS,T005,20803,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.59395605070863,51.4438888634019
358962.47,167507.710000001,100,SL071856,JN LAMPTON AVE NR C12,"4533201",Bishport Avenue,358962.47,167507.71,1,ALUMINIUM,SL: Bollard,Roundabout,PTSD - HIGHWAYS,T009,20804,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.59136009232282,51.4051003167679
358962.61,167512.5,101,SL071855,JN LAMPTON AVE NR C10,"4533201",Bishport Avenue,358962.61,167512.5,1,ALUMINIUM,SL: Bollard,Roundabout,PTSD - HIGHWAYS,T008,20803,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.59135863446323,51.4051433952849
352249.72,177334.4,102,SL039840,S /PORTVIEW RD-SBnd (opP300),"4533926",Portway,352249.72,177334.4,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T121,20830,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.68919069113712,51.4929242858948
352258.17,177196.01,103,SL148155,N /West Town Rd (West) -NBnd (opP297),"4533926",Portway,352258.17,177196.01,1,ALUMINIUM,SL: Bollard,Central reservation,PTSD - HIGHWAYS,T114,20828,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.68905015057804,51.4916807888006
363310.09,173688.310000001,104,SL137484,O/S 152 /Bellevue Road,"4547488",Bell Hill Road,363310.09,173688.31,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T008,20802,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.52950211893556,51.4609699823228
363302.76,173687.060000001,105,SL137476,O/S 152 /Bellevue Road,"4547488",Bell Hill Road,363302.76,173687.06,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T006,20801,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.52960748896564,51.4609582667863
357515.5,173344.300000001,106,SL133673,near /Pembroke Road,"4547345",Queens Road,357515.5,173344.3,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T026,20811,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.61286488214096,51.4574705940845
362807.39,175501.310000001,107,SL157183,J/O Grove Road,"4560519",Fishponds Road,362807.39,175501.31,1,ALUMINIUM,SL: Bollard,Pedestrian Refuge,PTSD - HIGHWAYS,T062,20807,SIMMONSIGNS GLOBAL,Yes,TRUE,,-2.5369295443939,51.4772381834405
